"DirectorId";"FirstName";"LastName";"DoB";"Profile";"Gender"
"119";"Patrick";"Hughes";"0000-00-00";"";""
"120";"Robert";"Stromberg";"0000-00-00";"";""
"121";"Harald";"Zwart";"0000-00-00";"";""
"122";"Paul";"Weitz";"0000-00-00";"";""
"123";"Michael";"Bay";"0000-00-00";"";""
"124";"Etan";"Cohen";"0000-00-00";"";""
"125";"Henry";"Selick";"0000-00-00";"";""
"126";"Steven";"Soderbergh";"0000-00-00";"";""
"127";"Tim";"Burton";"0000-00-00";"";""
"128";"Roger";"Allers";"0000-00-00";"";""
"129";"Robert";"Eggers";"0000-00-00";"";""
"130";"Ethan";"Coen";"0000-00-00";"";""
"131";"Wolfgang";"Petersen";"0000-00-00";"";""
"132";"Brad";"Bird";"0000-00-00";"";""
"133";"Jeremy";"Garelick";"0000-00-00";"";""
"134";"Luc";"Besson";"0000-00-00";"";""
"135";"Francis";"Coppola";"0000-00-00";"";""
"136";"David";"Wain";"0000-00-00";"";""
"137";"Ciarán";"Foy";"0000-00-00";"";""
"138";"Shane";"Meadows";"0000-00-00";"";""
"139";"Patrick";"Brice";"0000-00-00";"";""
"140";"Harold";"Ramis";"0000-00-00";"";""
"141";"Neill";"Blomkamp";"0000-00-00";"";""
"142";"Nicholas";"Stoller";"0000-00-00";"";""
"143";"Richard";"Kelly";"0000-00-00";"";""
"144";"Michael";"Spierig";"0000-00-00";"";""
"145";"Barry";"Sonnenfeld";"0000-00-00";"";""
"146";"Joel";"Coen";"0000-00-00";"";""
"147";"Tom";"Hooper";"0000-00-00";"";""
"148";"Mel";"Gibson";"0000-00-00";"";""
"149";"Brett";"Ratner";"0000-00-00";"";""
"150";"Mary";"Harron";"0000-00-00";"";""
"151";"Paul";"Anderson";"0000-00-00";"";""
"152";"Bill";"Condon";"0000-00-00";"";""
"153";"Steve";"McQueen";"0000-00-00";"";""
"154";"Sebastian";"Schipper";"0000-00-00";"";""
"155";"Jorge";"Gutiérrez";"0000-00-00";"";""
"156";"Stephen";"Chbosky";"0000-00-00";"";""
"157";"Afonso";"Poyart";"0000-00-00";"";""
"158";"Evan";"Goldberg";"0000-00-00";"";""
"159";"Jason";"Reitman";"0000-00-00";"";""
"160";"Ron";"Howard";"0000-00-00";"";""
"161";"Alex";"Winter";"0000-00-00";"";""
"162";"Tom";"McCarthy";"0000-00-00";"";""
"163";"Richard";"Curtis";"0000-00-00";"";""
"164";"Alejandro";"Monteverde";"0000-00-00";"";""
"165";"Ted";"Demme";"0000-00-00";"";""
"166";"Tom";"Holland";"0000-00-00";"";""
"167";"John";"Hughes";"0000-00-00";"";""
"168";"Robert";"Rodriguez";"0000-00-00";"";""
"169";"Louis";"Leterrier";"0000-00-00";"";""
"170";"Anton";"Corbijn";"0000-00-00";"";""
"171";"Andrew";"Stanton";"0000-00-00";"";""
"172";"Fernando";"Meirelles";"0000-00-00";"";""
"173";"Sarah";"Gavron";"0000-00-00";"";""
"174";"Frank";"Coraci";"0000-00-00";"";""
"175";"Jon";"Favreau";"0000-00-00";"";""
"176";"Fouad";"Mikati";"0000-00-00";"";""
"177";"Paul";"Verhoeven";"0000-00-00";"";""
"178";"Rawson";"Thurber";"0000-00-00";"";""
"179";"Tobe";"Hooper";"0000-00-00";"";""
"180";"Justin";"Lin";"0000-00-00";"";""
"181";"Angelina";"Jolie";"0000-00-00";"";""
"182";"Peter";"Berg";"0000-00-00";"";""
"183";"Darren";"Aronofsky";"0000-00-00";"";""
"184";"Brian";"Palma";"0000-00-00";"";""
"185";"Bennett";"Miller";"0000-00-00";"";""
"186";"Steven";"Monroe";"0000-00-00";"";""
"187";"Andrew";"Erwin";"0000-00-00";"";""
"188";"Damián";"Szifrón";"0000-00-00";"";""
"189";"Joel";"Schumacher";"0000-00-00";"";""
"190";"Jonathan";"Levine";"0000-00-00";"";""
"191";"Simon";"Curtis";"0000-00-00";"";""
"192";"Gary";"Shore";"0000-00-00";"";""
"193";"Sean";"Cunningham";"0000-00-00";"";""
"194";"P.J.";"Hogan";"0000-00-00";"";""
"195";"Michael";"Mann";"0000-00-00";"";""
"196";"Neil";"Jordan";"0000-00-00";"";""
"197";"Theodore";"Melfi";"0000-00-00";"";""
"198";"Walt";"Becker";"0000-00-00";"";""
"199";"Irvin";"Kershner";"0000-00-00";"";""
"200";"Nick";"Cassavetes";"0000-00-00";"";""
"201";"Edgar";"Wright";"0000-00-00";"";""
"202";"Seth";"MacFarlane";"0000-00-00";"";""
"203";"Terry";"Jones";"0000-00-00";"";""
"204";"Greg";"Mottola";"0000-00-00";"";""
"205";"Abbas";"Burmawalla";"0000-00-00";"";""
"206";"McG";"McG";"0000-00-00";"";""
"207";"Matthew";"Vaughn";"0000-00-00";"";""
"208";"Dito";"Montiel";"0000-00-00";"";""
"209";"Adam";"Shankman";"0000-00-00";"";""
"210";"Joseph";"Gordon-Levitt";"0000-00-00";"";""
"211";"Glenn";"Ficarra";"0000-00-00";"";""
"212";"Hayao";"Miyazaki";"0000-00-00";"";""
"213";"Phil";"Lord";"0000-00-00";"";""
"214";"John";"Avildsen";"0000-00-00";"";""
"215";"Marc";"Forster";"0000-00-00";"";""
"216";"Alfonso";"Cuarón";"0000-00-00";"";""
"217";"Stephen";"Sommers";"0000-00-00";"";""
"218";"Jon";"Chu";"0000-00-00";"";""
"219";"Gil";"Junger";"0000-00-00";"";""
"220";"Joseph";"Kosinski";"0000-00-00";"";""
"221";"Jay";"Roach";"0000-00-00";"";""
"222";"Reg";"Traviss";"0000-00-00";"";""
"223";"Peter";"Farrelly";"0000-00-00";"";""
"224";"D.J.";"Caruso";"0000-00-00";"";""
"225";"Sarik";"Andreasyan";"0000-00-00";"";""
"226";"Jemaine";"Clement";"0000-00-00";"";""
"227";"David";"Yates";"0000-00-00";"";""
"228";"Henry";"Hobson";"0000-00-00";"";""
"229";"Ben";"Stiller";"0000-00-00";"";""
"230";"Robert";"Wise";"0000-00-00";"";""
"231";"Iain";"Softley";"0000-00-00";"";""
"232";"Victor";"Fleming";"0000-00-00";"";""
"233";"Edward";"Zwick";"0000-00-00";"";""
"234";"Gore";"Verbinski";"0000-00-00";"";""
"235";"Duncan";"Jones";"0000-00-00";"";""
"236";"Richard";"Glatzer";"0000-00-00";"";""
"237";"Chan-wook";"Park";"0000-00-00";"";""
"238";"Amy";"Heckerling";"0000-00-00";"";""
"239";"Eli";"Roth";"0000-00-00";"";""
"240";"Wally";"Pfister";"0000-00-00";"";""
"241";"Pete";"Docter";"0000-00-00";"";""
"242";"Mikael";"Håfström";"0000-00-00";"";""
"243";"Steve";"Pink";"0000-00-00";"";""
"244";"Kevin";"Smith";"0000-00-00";"";""
"245";"Boaz";"Yakin";"0000-00-00";"";""
"246";"Sean";"Anders";"0000-00-00";"";""
"247";"Duke";"Johnson";"0000-00-00";"";""
"248";"François";"Simard";"0000-00-00";"";""
"249";"Sergey";"Bodrov";"0000-00-00";"";""
"250";"Peter";"Weir";"0000-00-00";"";""
"251";"Penny";"Marshall";"0000-00-00";"";""
"252";"Marc";"Webb";"0000-00-00";"";""
"253";"Andrew";"Mogel";"0000-00-00";"";""
"254";"Rajkumar";"Hirani";"0000-00-00";"";""
"255";"Paul";"Haggis";"0000-00-00";"";""
"256";"David";"Blair";"0000-00-00";"";""
"257";"Ben";"Affleck";"0000-00-00";"";""
"258";"Rob";"Cohen";"0000-00-00";"";""
"259";"Daniel";"Barber";"0000-00-00";"";""
"260";"Robert";"Zemeckis";"0000-00-00";"";""
"261";"Mike";"Flanagan";"0000-00-00";"";""
"262";"David";"Yarovesky";"0000-00-00";"";""
"263";"James";"DeMonaco";"0000-00-00";"";""
"264";"Mel";"Brooks";"0000-00-00";"";""
"265";"Matt";"Hullum";"0000-00-00";"";""
"266";"Nathan";"Greno";"0000-00-00";"";""
"267";"Sylvester";"Stallone";"0000-00-00";"";""
"268";"Jake";"Kasdan";"0000-00-00";"";""
"269";"Emile";"Ardolino";"0000-00-00";"";""
"270";"John";"Hancock";"0000-00-00";"";""
"271";"David";"Lynch";"0000-00-00";"";""
"272";"Tim";"Story";"0000-00-00";"";""
"273";"Jeff";"Wadlow";"0000-00-00";"";""
"274";"Robert";"Mulligan";"0000-00-00";"";""
"275";"Mark";"Andrews";"0000-00-00";"";""
"276";"Zheng";"Xu";"0000-00-00";"";""
"277";"Oren";"Peli";"0000-00-00";"";""
"278";"Jocelyn";"Moorhouse";"0000-00-00";"";""
"279";"Joe";"Dante";"0000-00-00";"";""
"280";"Ken";"Scott";"0000-00-00";"";""
"281";"George";"Hill";"0000-00-00";"";""
"282";"Scott";"Hicks";"0000-00-00";"";""
"283";"Luke";"Greenfield";"0000-00-00";"";""
"284";"Craig";"Gillespie";"0000-00-00";"";""
"285";"Kevin";"Reynolds";"0000-00-00";"";""
"286";"Ken";"Sanzel";"0000-00-00";"";""
"287";"Marielle";"Heller";"0000-00-00";"";""
"288";"Woody";"Allen";"0000-00-00";"";""
"289";"Shawn";"Levy";"0000-00-00";"";""
"290";"Howard";"Deutch";"0000-00-00";"";""
"291";"Timothy";"Jr.";"0000-00-00";"";""
"292";"Simon";"West";"0000-00-00";"";""
"293";"Tarsem";"Singh";"0000-00-00";"";""
"294";"Rich";"Moore";"0000-00-00";"";""
"295";"Blake";"Edwards";"0000-00-00";"";""
"296";"Albert";"Hughes";"0000-00-00";"";""
"297";"Ron";"Clements";"0000-00-00";"";""
"298";"Alexandre";"Aja";"0000-00-00";"";""
"299";"Kevin";"Macdonald";"0000-00-00";"";""
"300";"Jean-Pierre";"Jeunet";"0000-00-00";"";""
"301";"Daniel";"Benmayor";"0000-00-00";"";""
"302";"Steven";"Quale";"0000-00-00";"";""
"303";"Pierre";"Coffin";"0000-00-00";"";""
"304";"Richard";"Attenborough";"0000-00-00";"";""
"305";"Raja";"Gosnell";"0000-00-00";"";""
"306";"Maya";"Forbes";"0000-00-00";"";""
"307";"Martin";"Campbell";"0000-00-00";"";""
"308";"Stephen";"Reynolds";"0000-00-00";"";""
"309";"Jonathan";"Dayton";"0000-00-00";"";""
"310";"John";"Leonetti";"0000-00-00";"";""
"311";"Olivier";"Megaton";"0000-00-00";"";""
"312";"Terry";"Gilliam";"0000-00-00";"";""
"313";"Herbert";"Ross";"0000-00-00";"";""
"314";"Stephen";"Daldry";"0000-00-00";"";""
"315";"Austin";"Stark";"0000-00-00";"";""
"316";"Roman";"Polanski";"0000-00-00";"";""
"317";"Atom";"Egoyan";"0000-00-00";"";""
"318";"Gavin";"Hood";"0000-00-00";"";""
"319";"Alejandro";"Amenábar";"0000-00-00";"";""
"320";"Mark";"Osborne";"0000-00-00";"";""
"321";"Paul";"Greengrass";"0000-00-00";"";""
"322";"Penelope";"Spheeris";"0000-00-00";"";""
"323";"John";"McTiernan";"0000-00-00";"";""
"324";"John";"Carpenter";"0000-00-00";"";""
"325";"Lasse";"Hallström";"0000-00-00";"";""
"326";"Scott";"Frank";"0000-00-00";"";""
"327";"Steve";"Wolsh";"0000-00-00";"";""
"328";"Kyle";"Alvarez";"0000-00-00";"";""
"329";"Wolfgang";"Reitherman";"0000-00-00";"";""
"330";"James";"Mangold";"0000-00-00";"";""
"331";"Noah";"Baumbach";"0000-00-00";"";""
"332";"Stephen";"Norrington";"0000-00-00";"";""
"333";"Joe";"Johnston";"0000-00-00";"";""
"334";"Roger";"Donaldson";"0000-00-00";"";""
"335";"Peter";"Sattler";"0000-00-00";"";""
"336";"Anne";"Fletcher";"0000-00-00";"";""
"337";"John";"Woo";"0000-00-00";"";""
"338";"Kirk";"Micco";"0000-00-00";"";""
"339";"Jon";"Hurwitz";"0000-00-00";"";""
"340";"Curtis";"Hanson";"0000-00-00";"";""
"341";"Brett";"Haley";"0000-00-00";"";""
"342";"Angel";"Gracia";"0000-00-00";"";""
"343";"Adriana";"Trigiani";"0000-00-00";"";""
"344";"Robert";"Luketic";"0000-00-00";"";""
"345";"Billy";"Ray";"0000-00-00";"";""
"346";"Andrés";"Muschietti";"0000-00-00";"";""
"347";"Susanne";"Bier";"0000-00-00";"";""
"348";"Tomas";"Alfredson";"0000-00-00";"";""
"349";"Francis";"Lawrence";"0000-00-00";"";""
"350";"Garry";"Marshall";"0000-00-00";"";""
"351";"Derek";"Cianfrance";"0000-00-00";"";""
"352";"Brad";"Silberling";"0000-00-00";"";""
"353";"Mike";"Binder";"0000-00-00";"";""
"354";"Dan";"Fogelman";"0000-00-00";"";""
"355";"Mike";"Newell";"0000-00-00";"";""
"356";"Spike";"Lee";"0000-00-00";"";""
"357";"Lone";"Scherfig";"0000-00-00";"";""
"358";"Mike";"Judge";"0000-00-00";"";""
"359";"Adam";"McKay";"0000-00-00";"";""
"360";"John";"Maclean";"0000-00-00";"";""
"361";"Ruben";"Fleischer";"0000-00-00";"";""
"362";"Ekachai";"Uekrongtham";"0000-00-00";"";""
"363";"Dan";"Bradley";"0000-00-00";"";""
"364";"Thor";"Freudenthal";"0000-00-00";"";""
"365";"Ron";"Underwood";"0000-00-00";"";""
"366";"Sidney";"Lumet";"0000-00-00";"";""
"367";"Jessie";"Nelson";"0000-00-00";"";""
"368";"Lee";"Daniels";"0000-00-00";"";""
"369";"Corin";"Hardy";"0000-00-00";"";""
"370";"Andy";"Fickman";"0000-00-00";"";""
"371";"Anthony";"Minghella";"0000-00-00";"";""
"372";"Daniel";"Myrick";"0000-00-00";"";""
"373";"Drake";"Doremus";"0000-00-00";"";""
"374";"David";"Evans";"0000-00-00";"";""
"375";"Justin";"Simien";"0000-00-00";"";""
"376";"William";"Eubank";"0000-00-00";"";""
"377";"Jaume";"Collet-Serra";"0000-00-00";"";""
"378";"Niels";"Oplev";"0000-00-00";"";""
"379";"Jerry";"Zucker";"0000-00-00";"";""
"380";"Howard";"Hawks";"0000-00-00";"";""
"381";"Sergio";"Leone";"0000-00-00";"";""
"382";"Ang";"Lee";"0000-00-00";"";""
"383";"James";"Roday";"0000-00-00";"";""
"384";"Lorene";"Scafaria";"0000-00-00";"";""
"385";"F.";"Gray";"0000-00-00";"";""
"386";"Bernardo";"Bertolucci";"0000-00-00";"";""
"387";"Frank";"Capra";"0000-00-00";"";""
"388";"John";"Hillcoat";"0000-00-00";"";""
"389";"Howard";"Morris";"0000-00-00";"";""
"390";"David";"Russell";"0000-00-00";"";""
"391";"David";"Ayer";"0000-00-00";"";""
"392";"Rob";"Minkoff";"0000-00-00";"";""
"393";"Miguel";"Arteta";"0000-00-00";"";""
"394";"Matthew";"Warchus";"0000-00-00";"";""
"395";"Ethan";"Maniquis";"0000-00-00";"";""
"396";"Dan";"Scanlon";"0000-00-00";"";""
"397";"Rufus";"Norris";"0000-00-00";"";""
"398";"Jamie";"Babbit";"0000-00-00";"";""
"399";"Andrew";"Davis";"0000-00-00";"";""
"400";"Giulio";"Ricciarelli";"0000-00-00";"";""
"401";"Nicolás";"López";"0000-00-00";"";""
"402";"Allen";"Coulter";"0000-00-00";"";""
"403";"Orson";"Welles";"0000-00-00";"";""
"404";"Rob";"Zombie";"0000-00-00";"";""
"405";"Ryan";"Gosling";"0000-00-00";"";""
"406";"John";"Stockwell";"0000-00-00";"";""
"407";"George";"Clooney";"0000-00-00";"";""
"408";"Joe";"Carnahan";"0000-00-00";"";""
"409";"Andy";"Tennant";"0000-00-00";"";""
"410";"Gus";"Sant";"0000-00-00";"";""
"411";"Griffin";"Dunne";"0000-00-00";"";""
"412";"Alex";"Proyas";"0000-00-00";"";""
"413";"Don";"Mancini";"0000-00-00";"";""
"414";"Michael";"Dowse";"0000-00-00";"";""
"415";"Andrew";"Haigh";"0000-00-00";"";""
"416";"Tom";"Tykwer";"0000-00-00";"";""
"417";"Yann";"Demange";"0000-00-00";"";""
"418";"Richard";"Greenberg";"0000-00-00";"";""
"419";"Christophe";"Gans";"0000-00-00";"";""
"420";"Ken";"Kwapis";"0000-00-00";"";""
"421";"David";"Green";"0000-00-00";"";""
"422";"George";"Nolfi";"0000-00-00";"";""
"423";"Adrian";"Lyne";"0000-00-00";"";""
"424";"Martin";"McDonagh";"0000-00-00";"";""
"425";"John";"Dowdle";"0000-00-00";"";""
"426";"Sophie";"Barthes";"0000-00-00";"";""
"427";"Courteney";"Cox";"0000-00-00";"";""
"428";"Larry";"Charles";"0000-00-00";"";""
"429";"Sam";"Mendes";"0000-00-00";"";""
"430";"Anthony";"Burns";"0000-00-00";"";""
"431";"Ana";"Amirpour";"0000-00-00";"";""
"432";"David";"Levy";"0000-00-00";"";""
"433";"David";"Hackl";"0000-00-00";"";""
"434";"Cary";"Fukunaga";"0000-00-00";"";""
"435";"Adam";"Salky";"0000-00-00";"";""
"436";"Rob";"Bowman";"0000-00-00";"";""
"437";"Troy";"Duffy";"0000-00-00";"";""
"438";"Roger";"Kumble";"0000-00-00";"";""
"439";"Jacques";"Audiard";"0000-00-00";"";""
"440";"Andrew";"Niccol";"0000-00-00";"";""
"441";"Tom";"Hanks";"0000-00-00";"";""
"442";"Eric";"Brevig";"0000-00-00";"";""
"443";"Giuseppe";"Tornatore";"0000-00-00";"";""
"444";"Kurt";"Wimmer";"0000-00-00";"";""
"445";"Wilson";"Yip";"0000-00-00";"";""
"446";"Kevin";"Carraway";"0000-00-00";"";""
"447";"Bryan";"Bertino";"0000-00-00";"";""
"448";"Paul";"Jarrett";"0000-00-00";"";""
"449";"Gia";"Coppola";"0000-00-00";"";""
"450";"Michael";"Apted";"0000-00-00";"";""
"451";"Kenneth";"Branagh";"0000-00-00";"";""
"452";"Michael";"King";"0000-00-00";"";""
"453";"David";"Slade";"0000-00-00";"";""
"454";"Steve";"Barron";"0000-00-00";"";""
"455";"Stiles";"White";"0000-00-00";"";""
"456";"John";"Landis";"0000-00-00";"";""
"457";"Richard";"LaGravenese";"0000-00-00";"";""
"458";"Stuart";"McDonald";"0000-00-00";"";""
"459";"Oliver";"Stone";"0000-00-00";"";""
"460";"Scott";"Derrickson";"0000-00-00";"";""
"461";"Akira";"Kurosawa";"0000-00-00";"";""
"462";"Alan";"Poul";"0000-00-00";"";""
"463";"Karyn";"Kusama";"0000-00-00";"";""
"464";"Dean";"DeBlois";"0000-00-00";"";""
"465";"Gerard";"Johnstone";"0000-00-00";"";""
"466";"Walter";"Murch";"0000-00-00";"";""
"467";"James";"Watkins";"0000-00-00";"";""
"468";"John";"Huston";"0000-00-00";"";""
"469";"Jason";"Friedberg";"0000-00-00";"";""
"470";"Neil";"Marshall";"0000-00-00";"";""
"471";"Ronny";"Yu";"0000-00-00";"";""
"472";"Tony";"Scott";"0000-00-00";"";""
"473";"Hal";"Needham";"0000-00-00";"";""
"474";"Lee";"Tamahori";"0000-00-00";"";""
"475";"Trey";"Parker";"0000-00-00";"";""
"476";"Stefen";"Fangmeier";"0000-00-00";"";""
"477";"Martin";"Brest";"0000-00-00";"";""
"478";"Shane";"Abbess";"0000-00-00";"";""
"479";"Nicholas";"Ray";"0000-00-00";"";""
"480";"Victor";"Salva";"0000-00-00";"";""
"481";"Kim";"Farrant";"0000-00-00";"";""
"482";"Richard";"Donner";"0000-00-00";"";""
"483";"Franck";"Khalfoun";"0000-00-00";"";""
"484";"Mark";"Rosman";"0000-00-00";"";""
"485";"Nicholas";"Hytner";"0000-00-00";"";""
"486";"Rob";"Epstein";"0000-00-00";"";""
"487";"Mark";"Johnson";"0000-00-00";"";""
"488";"Paco";"Cabezas";"0000-00-00";"";""
"489";"John";"Herzfeld";"0000-00-00";"";""
"490";"Craig";"Brewer";"0000-00-00";"";""
"491";"John";"Sturges";"0000-00-00";"";""
"492";"Trevor";"Matthews";"0000-00-00";"";""
"493";"Gary";"Winick";"0000-00-00";"";""
"494";"Carl";"Rinsch";"0000-00-00";"";""
"495";"Mark";"Burton";"0000-00-00";"";""
"496";"Brad";"Peyton";"0000-00-00";"";""
"497";"Donald";"Petrie";"0000-00-00";"";""
"498";"Sam";"Esmail";"0000-00-00";"";""
"499";"Asghar";"Farhadi";"0000-00-00";"";""
"500";"Gareth";"Evans";"0000-00-00";"";""
"501";"Kriv";"Stenders";"0000-00-00";"";""
"502";"Bobby";"Farrelly";"0000-00-00";"";""
"503";"Kris";"Swanberg";"0000-00-00";"";""
"504";"John";"Guillermin";"0000-00-00";"";""
"505";"David";"Cronenberg";"0000-00-00";"";""
"506";"J.B.";"Rogers";"0000-00-00";"";""
"507";"Terrence";"Malick";"0000-00-00";"";""
"508";"Mathew";"Cullen";"0000-00-00";"";""
"509";"Kevin";"Costner";"0000-00-00";"";""
"510";"Ivan";"Reitman";"0000-00-00";"";""
"511";"Deepa";"Mehta";"0000-00-00";"";""
"512";"José";"Padilha";"0000-00-00";"";""
"513";"Jon";"Turteltaub";"0000-00-00";"";""
"514";"Walerian";"Borowczyk";"0000-00-00";"";""
"515";"Chris";"Weitz";"0000-00-00";"";""
"516";"Steve";"Antin";"0000-00-00";"";""
"517";"Zach";"Lipovsky";"0000-00-00";"";""
"518";"Terry";"George";"0000-00-00";"";""
"519";"Gary";"Fleder";"0000-00-00";"";""
"520";"Christopher";"Smith";"0000-00-00";"";""
"521";"Phillip";"Noyce";"0000-00-00";"";""
"522";"Gary";"Rydstrom";"0000-00-00";"";""
"523";"Ilya";"Naishuller";"0000-00-00";"";""
"524";"Kelly";"Asbury";"0000-00-00";"";""
"525";"S.";"Zahler";"0000-00-00";"";""
"526";"Stephen";"Herek";"0000-00-00";"";""
"527";"Michael";"Winterbottom";"0000-00-00";"";""
"528";"Alexander";"Witt";"0000-00-00";"";""
"529";"David";"Ward";"0000-00-00";"";""
"530";"Tom";"Shadyac";"0000-00-00";"";""
"531";"Xavier";"Dolan";"0000-00-00";"";""
"532";"Scott";"Speer";"0000-00-00";"";""
"533";"Tommy";"Wiseau";"0000-00-00";"";""
"534";"Toby";"Genkel";"0000-00-00";"";""
"535";"Deniz";"Ergüven";"0000-00-00";"";""
"536";"Shane";"Black";"0000-00-00";"";""
"537";"John";"Krokidas";"0000-00-00";"";""
